season,seasonStatus,playerId,role,roleExtended,playerName,club,initialQuote,currentOrFinalQuote,quoteDiff,quoteReturnPct,initialQuoteMantra,currentOrFinalQuoteMantra,quoteDiffMantra,fvm,fvmMantra,sourceFile
2019/20,completed,350,P,Por,Donnarumma G.,Milan,15,15,0,0,15,15,0,0,0,Quotazioni_Fantacalcio_Stagione_2019_20.xlsx
2019/20,completed,250,P,Por,Handanovic,Inter,18,14,-4,-22.22222222222222,18,14,-4,0,0,Quotazioni_Fantacalcio_Stagione_2019_20.xlsx
2019/20,completed,1934,P,Por,Strakosha,Lazio,13,12,-1,-7.6923076923076925,13,12,-1,0,0,Quotazioni_Fantacalcio_Stagione_2019_20.xlsx
2019/20,completed,2792,P,Por,Musso,Udinese,9,12,3,33.33333333333333,9,12,3,0,0,Quotazioni_Fantacalcio_Stagione_2019_20.xlsx
2019/20,completed,453,P,Por,Szczesny,Juventus,17,11,-6,-35.294117647058826,17,11,-6,0,0,Quotazioni_Fantacalcio_Stagione_2019_20.xlsx
2019/20,completed,159,P,Por,Sepe,Parma,8,10,2,25,8,10,2,0,0,Quotazioni_Fantacalcio_Stagione_2019_20.xlsx
2019/20,completed,610,P,Por,Gollini,Atalanta,14,10,-4,-28.57142857142857,14,10,-4,0,0,Quotazioni_Fantacalcio_Stagione_2019_20.xlsx
2019/20,completed,2178,P,Por,Cragno,Cagliari,11,10,-1,-9.090909090909092,11,10,-1,0,0,Quotazioni_Fantacalcio_Stagione_2019_20.xlsx
2019/20,completed,2211,P,Por,Silvestri,Verona,6,10,4,66.66666666666666,6,10,4,0,0,Quotazioni_Fantacalcio_Stagione_2019_20.xlsx
2019/20,completed,1917,P,Por,Dragowski,Fiorentina,11,9,-2,-18.181818181818183,11,9,-2,0,0,Quotazioni_Fantacalcio_Stagione_2019_20.xlsx
2019/20,completed,4419,P,Por,Pau Lopez,Roma,14,9,-5,-35.714285714285715,14,9,-5,0,0,Quotazioni_Fantacalcio_Stagione_2019_20.xlsx
2019/20,completed,2179,P,Por,Sirigu,Torino,14,8,-6,-42.857142857142854,14,8,-6,0,0,Quotazioni_Fantacalcio_Stagione_2019_20.xlsx
2019/20,completed,2468,P,Por,Ospina,Napoli,3,8,5,166.66666666666669,3,8,5,0,0,Quotazioni_Fantacalcio_Stagione_2019_20.xlsx
2019/20,completed,509,P,Por,Consigli,Sassuolo,10,7,-3,-30,10,7,-3,0,0,Quotazioni_Fantacalcio_Stagione_2019_20.xlsx
2019/20,completed,133,P,Por,Skorupski,Bologna,9,6,-3,-33.33333333333333,9,7,-2,0,0,Quotazioni_Fantacalcio_Stagione_2019_20.xlsx
2019/20,completed,572,P,Por,Meret,Napoli,15,6,-9,-60,15,7,-8,0,0,Quotazioni_Fantacalcio_Stagione_2019_20.xlsx
2019/20,completed,761,P,Por,Audero,Sampdoria,11,6,-5,-45.45454545454545,11,6,-5,0,0,Quotazioni_Fantacalcio_Stagione_2019_20.xlsx
2019/20,completed,2815,P,Por,Terracciano,Fiorentina,1,6,5,500,1,6,5,0,0,Quotazioni_Fantacalcio_Stagione_2019_20.xlsx
