buy_commission_pct,sell_commission_pct,platform_fee_pct,avg_organizer_margin_pct,org_profit_per_participant,avg_platform_revenue,avg_prize_pool,avg_first_prize,avg_winner_roi_pct,pct_above_0,platform_loss_risk_pct,is_sustainable,is_pareto_optimal,score_max_organizer,score_participant_welfare,score_winner_attractiveness,score_balanced
1,0.5,5,5,3.74,187.23,3557.4,1422.96,2746,12,0,true,false,187.23,12,7.9182,8.1796
1,0.5,10,10,7.49,374.46,3370.17,1348.07,2596,12,0,true,false,374.46,12,7.8622,10.1655
1,0.5,15,15,11.23,561.69,3182.94,1273.17,2446,12,0,true,false,561.69,12,7.8028,12.1507
1,0.5,20,20,14.98,748.93,2995.71,1198.28,2297,12,0,true,false,748.93,12,7.7396,14.1349
1,0.5,25,25,18.72,936.16,2808.47,1123.39,2147,12,0,true,false,936.16,12,7.6722,16.118
1,1.25,5,5,4.29,214.65,4078.39,1631.35,3163,12,0,true,false,214.65,12,8.0595,8.2149
1,1.25,10,10,8.59,429.3,3863.73,1545.49,2991,12,0,true,false,429.3,12,8.0037,10.2009
1,1.25,15,15,12.88,643.96,3649.08,1459.63,2819,12,0,true,false,643.96,12,7.9446,12.1861
1,1.25,20,20,17.17,858.61,3434.43,1373.77,2648,12,0,true,false,858.61,12,7.8818,14.1704
1,1.25,25,25,21.47,1073.26,3219.78,1287.91,2476,12,0,true,false,1073.26,12,7.8147,16.1537
1,2,5,5,4.84,242.08,4599.54,1839.82,3580,12,0,true,false,242.08,12,8.1833,8.2458
1,2,10,10,9.68,484.16,4357.46,1742.98,3386,12,0,true,false,484.16,12,8.1277,10.2319
1,2,15,15,14.52,726.24,4115.38,1646.15,3192,12,0,true,false,726.24,12,8.0688,12.2172
1,2,20,20,19.37,968.32,3873.29,1549.32,2999,12,0,true,false,968.32,12,8.0062,14.2016
1,2,25,25,24.21,1210.4,3631.21,1452.49,2805,12,0,true,false,1210.4,12,7.9395,16.1849
1,5,5,5,6.97,348.67,6624.73,2649.89,5200,12,0,true,false,348.67,12,8.5566,8.3391
1,5,10,10,13.95,697.34,6276.06,2510.42,4921,12,0,true,false,697.34,12,8.5014,10.3254
1,5,15,15,20.92,1046.01,5927.39,2370.96,4642,12,0,true,false,1046.01,12,8.4431,12.3108
1,5,20,20,27.89,1394.68,5578.72,2231.49,4363,12,0,true,false,1394.68,12,8.3811,14.2953
1,5,25,25,34.87,1743.35,5230.05,2092.02,4084,12,0,true,false,1743.35,12,8.3151,16.2788
1,8,5,5,9.23,461.28,8764.37,3505.75,6911,12,0,true,false,461.28,12,8.8411,8.4103
1,8,10,10,18.45,922.57,8303.09,3321.24,6542,12,0,true,false,922.57,12,8.7862,10.3966
1,8,15,15,27.68,1383.85,7841.81,3136.72,6173,12,0,true,false,1383.85,12,8.7282,12.382
1,8,20,20,36.9,1845.13,7380.53,2952.21,5804,12,0,true,false,1845.13,12,8.6665,14.3666
1,8,25,25,46.13,2306.41,6919.24,2767.7,5435,12,0,true,false,2306.41,12,8.6009,16.3502
2,0.5,5,5,4.59,229.71,4364.41,1745.76,3392,12,0,true,false,229.71,12,8.1293,8.2323
2,0.5,10,10,9.19,459.41,4134.7,1653.88,3208,12,0,true,false,459.41,12,8.0736,10.2184
2,0.5,15,15,13.78,689.12,3905,1562,3024,12,0,true,false,689.12,12,8.0147,12.2037
2,0.5,20,20,18.38,918.82,3675.29,1470.12,2840,12,0,true,false,918.82,12,7.952,14.188
2,0.5,25,25,22.97,1148.53,3445.58,1378.23,2656,12,0,true,false,1148.53,12,7.8851,16.1713
2,1.25,5,5,5.14,256.84,4880,1952,3804,12,0,true,false,256.84,12,8.2441,8.261
2,1.25,10,10,10.27,513.68,4623.15,1849.26,3599,12,0,true,false,513.68,12,8.1886,10.2471
2,1.25,15,15,15.41,770.53,4366.31,1746.52,3393,12,0,true,false,770.53,12,8.1298,12.2324
2,1.25,20,20,20.55,1027.37,4109.47,1643.79,3188,12,0,true,false,1027.37,12,8.0673,14.2168
2,1.25,25,25,25.68,1284.21,3852.63,1541.05,2982,12,0,true,false,1284.21,12,8.0007,16.2002
2,2,5,5,5.69,284.73,5409.94,2163.98,4228,12,0,true,false,284.73,12,8.3497,8.2874
2,2,10,10,11.39,569.47,5125.21,2050.08,4000,12,0,true,false,569.47,12,8.2943,10.2736
2,2,15,15,17.08,854.2,4840.47,1936.19,3772,12,0,true,false,854.2,12,8.2357,12.2589
2,2,20,20,22.78,1138.93,4555.74,1822.3,3545,12,0,true,false,1138.93,12,8.1735,14.2434
2,2,25,25,28.47,1423.67,4271,1708.4,3317,12,0,true,false,1423.67,12,8.1071,16.2268
2,5,5,5,7.84,391.78,7443.81,2977.53,5855,12,0,true,false,391.78,12,8.6752,8.3688
2,5,10,10,15.67,783.56,7052.03,2820.81,5542,12,0,true,false,783.56,12,8.6202,10.3551
2,5,15,15,23.51,1175.34,6660.25,2664.1,5228,12,0,true,false,1175.34,12,8.562,12.3405
2,5,20,20,31.34,1567.12,6268.47,2507.39,4915,12,0,true,false,1567.12,12,8.5002,14.3251
2,5,25,25,39.18,1958.9,5876.69,2350.68,4601,12,0,true,false,1958.9,12,8.4343,16.3086
2,8,5,5,10,500.21,9504.06,3801.62,7503,12,0,true,false,500.21,12,8.9232,8.4308
2,8,10,10,20.01,1000.43,9003.84,3601.54,7103,12,0,true,false,1000.43,12,8.8684,10.4171
2,8,15,15,30.01,1500.64,8503.63,3401.45,6703,12,0,true,false,1500.64,12,8.8104,12.4026
2,8,20,20,40.02,2000.85,8003.41,3201.37,6303,12,0,true,false,2000.85,12,8.7489,14.3872
2,8,25,25,50.02,2501.07,7503.2,3001.28,5903,12,0,true,false,2501.07,12,8.6833,16.3708
3,0.5,5,5,5.46,272.91,5185.24,2074.1,4048,12,0,true,false,272.91,12,8.3063,8.2766
3,0.5,10,10,10.92,545.82,4912.34,1964.93,3830,12,0,true,false,545.82,12,8.2508,10.2627
3,0.5,15,15,16.37,818.72,4639.43,1855.77,3612,12,0,true,false,818.72,12,8.1922,12.248
3,0.5,20,20,21.83,1091.63,4366.52,1746.61,3393,12,0,true,false,1091.63,12,8.1298,14.2325
3,0.5,25,25,27.29,1364.54,4093.61,1637.45,3175,12,0,true,false,1364.54,12,8.0633,16.2158
3,1.25,5,5,5.97,298.63,5673.91,2269.56,4439,12,0,true,false,298.63,12,8.3984,8.2996
3,1.25,10,10,11.95,597.25,5375.28,2150.11,4200,12,0,true,false,597.25,12,8.3431,10.2858
