num_prizes,first_prize_pct,gini_coefficient,pct_above_0,pct_above_5,avg_first_prize,avg_last_prize,avg_winner_roi_pct,avg_prize_pool,last_prize_covers_fee,is_pareto_optimal,table_distribution
1,30,0.98,2,2,4620,4620,9140,4620,true,true,100.0%
1,40,0.98,2,2,4620,4620,9140,4620,true,true,100.0%
1,50,0.98,2,2,4620,4620,9140,4620,true,true,100.0%
1,60,0.98,2,2,4620,4620,9140,4620,true,true,100.0%
1,70,0.98,2,2,4620,4620,9140,4620,true,true,100.0%
2,50,0.96,4,4,2310,2310,4520,4620,true,false,50.0%|50.0%
2,60,0.964,4,4,2772,1848,5444,4620,true,false,60.0%|40.0%
2,70,0.968,4,4,3234,1386,6368,4620,true,false,70.0%|30.0%
3,40,0.945,6,6,1848,1251.3,3596,4620,true,false,40.0%|32.9%|27.1%
3,50,0.952,6,6,2310,882.4,4520,4620,true,false,50.0%|30.9%|19.1%
3,60,0.959,6,6,2772,580,5444,4620,true,false,60.0%|27.4%|12.6%
3,70,0.965,6,6,3234,339,6368,4620,true,false,70.0%|22.7%|7.3%
4,30,0.926,8,8,1386,942.9,2672,4620,true,false,30.0%|26.4%|23.2%|20.4%
4,40,0.938,8,8,1848,610.8,3596,4620,true,false,40.0%|27.7%|19.1%|13.2%
4,50,0.948,8,8,2310,371.3,4520,4620,true,false,50.0%|27.2%|14.8%|8.0%
4,60,0.956,8,8,2772,203,5444,4620,true,false,60.0%|25.1%|10.5%|4.4%
4,70,0.964,8,8,3234,92.8,6368,4620,true,false,70.0%|21.4%|6.6%|2.0%
5,30,0.918,10,10,1386,555.5,2672,4620,true,false,30.0%|23.9%|19.0%|15.1%|12.0%
5,40,0.933,10,10,1848,318.8,3596,4620,true,false,40.0%|25.8%|16.6%|10.7%|6.9%
5,50,0.945,10,10,2310,167.3,4520,4620,true,false,50.0%|25.9%|13.5%|7.0%|3.6%
5,60,0.955,10,10,2772,75.8,5444,4620,true,false,60.0%|24.4%|9.9%|4.0%|1.6%
5,70,0.963,8,8,3234,26.8,6368,4620,false,false,70.0%|21.1%|6.4%|1.9%|0.6%
6,30,0.911,12,12,1386,342.3,2672,4620,true,false,30.0%|22.7%|17.1%|13.0%|9.8%|7.4%
6,40,0.929,12,12,1848,174.1,3596,4620,true,false,40.0%|24.9%|15.6%|9.7%|6.0%|3.8%
6,50,0.943,12,12,2310,78.7,4520,4620,true,false,50.0%|25.4%|12.9%|6.6%|3.3%|1.7%
6,60,0.954,10,10,2772,29.3,5444,4620,false,false,60.0%|24.2%|9.7%|3.9%|1.6%|0.6%
6,70,0.963,8,8,3234,7.9,6368,4620,false,true,70.0%|21.0%|6.3%|1.9%|0.6%|0.2%
8,30,0.902,16,16,1386,142,2672,4620,true,false,30.0%|21.7%|15.6%|11.3%|8.2%|5.9%|4.3%|3.1%
8,40,0.924,16,16,1848,56.4,3596,4620,true,false,40.0%|24.3%|14.8%|9.0%|5.4%|3.3%|2.0%|1.2%
8,50,0.941,12,12,2310,18.6,4520,4620,false,true,50.0%|25.1%|12.6%|6.3%|3.2%|1.6%|0.8%|0.4%
8,60,0.954,10,10,2772,4.6,5444,4620,false,true,60.0%|24.0%|9.6%|3.9%|1.5%|0.6%|0.2%|0.1%
8,70,0.963,8,8,3234,0.7,6368,4620,false,false,70.0%|21.0%|6.3%|1.9%|0.6%|0.2%|0.1%|0.0%
10,30,0.896,20,20,1386,63.3,2672,4620,true,true,30.0%|21.3%|15.1%|10.7%|7.6%|5.4%|3.8%|2.7%|1.9%|1.4%
10,40,0.922,16,15.7,1848,19.3,3596,4620,false,true,40.0%|24.1%|14.5%|8.7%|5.3%|3.2%|1.9%|1.2%|0.7%|0.4%
10,50,0.94,12,12,2310,4.6,4520,4620,false,false,50.0%|25.0%|12.5%|6.3%|3.1%|1.6%|0.8%|0.4%|0.2%|0.1%
10,60,0.953,10,10,2772,0.7,5444,4620,false,false,60.0%|24.0%|9.6%|3.8%|1.5%|0.6%|0.2%|0.1%|0.0%|0.0%
10,70,0.963,8,8,3234,0.1,6368,4620,false,false,70.0%|21.0%|6.3%|1.9%|0.6%|0.2%|0.1%|0.0%|0.0%|0.0%
15,30,0.889,20,20,1386,9.7,2672,4620,false,false,30.0%|21.0%|14.8%|10.4%|7.3%|5.1%|3.6%|2.5%|1.8%|1.2%|0.9%|0.6%|0.4%|0.3%|0.2%
15,40,0.92,16,14.4,1848,1.5,3596,4620,false,true,40.0%|24.0%|14.4%|8.6%|5.2%|3.1%|1.9%|1.1%|0.7%|0.4%|0.2%|0.1%|0.1%|0.1%|0.0%
15,50,0.94,12,12,2310,0.1,4520,4620,false,false,50.0%|25.0%|12.5%|6.3%|3.1%|1.6%|0.8%|0.4%|0.2%|0.1%|0.0%|0.0%|0.0%|0.0%|0.0%
15,60,0.953,10,10,2772,0,5444,4620,false,false,60.0%|24.0%|9.6%|3.8%|1.5%|0.6%|0.2%|0.1%|0.0%|0.0%|0.0%|0.0%|0.0%|0.0%|0.0%
15,70,0.963,8,8,3234,0,6368,4620,false,false,70.0%|21.0%|6.3%|1.9%|0.6%|0.2%|0.1%|0.0%|0.0%|0.0%|0.0%|0.0%|0.0%|0.0%|0.0%
