scenarioId,label,buyCommissionRate,sellCommissionRate,prizeThreshold,revenueModel,avgUserROI,medianUserROI,bestROI,worstROI,volatility,pctAbove0,pctAbovePrizeThreshold,pctAbove5,pctAbove7,pctAbove10,estimatedWinnersPct,totalCommissionsPerParticipant,platformRevenuePerParticipant,avgCommissionsPaidPerParticipant,commissionImpactOnROI,userAttractivenessScore,platformSustainabilityScore,prizeSelectivityScore,antiOvertradingScore,valueDominanceControlScore,simplicityScore,finalScore,overtradingRisk,valueDominanceRisk,holdVsActiveDelta,breakEvenUsers1000Cost
MODEL_A_PREVIOUS_PLATFORM_10,Previous platform 10% delle commissioni,0.02,0.02,7,PLATFORM_10_OF_COMMISSIONS,-2.4519,-3.6640,5.1045,-10.4101,8.9690,39.2284,14.5980,20.3031,14.5980,8.2520,14.5980,7.5668,0.7567,7.5668,3.9816,47.4481,9.4585,86.3919,90.0000,28.4577,100.0000,48.8237,LOW,MEDIUM,-31.2892,1321.56
MODEL_B_COMMISSION_100_BASE,Commissioni 100% base,0.02,0.02,7,COMMISSION_100_TO_PLATFORM,-2.4519,-3.6640,5.1045,-10.4101,8.9690,39.2284,14.5980,20.3031,14.5980,8.2520,14.5980,7.5668,7.5668,7.5668,3.9816,47.4481,94.5850,86.3919,90.0000,28.4577,100.0000,74.3617,LOW,MEDIUM,-31.2892,132.16
MODEL_C_LOW_FEES,Low fees,0.01,0.01,7,COMMISSION_100_TO_PLATFORM,-0.4808,-1.7174,7.2283,-8.5998,9.0377,47.8786,20.3910,27.2112,20.3910,12.3090,20.3910,3.7834,3.7834,3.7834,2.0105,60.3151,47.2925,90.4358,50.0000,26.6080,100.0000,60.0145,LOW,MEDIUM,-31.2892,264.31
MODEL_D_ASYMMETRIC_ORIGINAL_BUY,Asimmetrico originale buy,0.02,0.0125,7,COMMISSION_100_TO_PLATFORM,-1.7053,-2.9267,5.9089,-9.7244,9.0377,42.5168,16.7717,22.9065,16.7717,9.7631,16.7717,6.1482,6.1482,6.1482,3.2350,53.8248,76.8522,95.0869,60.0000,27.7572,68.0000,67.7049,LOW,MEDIUM,-31.2892,162.65
MODEL_E_ASYMMETRIC_SELL_HIGHER,Asimmetrico sell higher,0.015,0.02,7,COMMISSION_100_TO_PLATFORM,-1.9713,-3.1895,5.6223,-9.9688,8.9690,41.3016,15.8593,21.8501,15.8593,9.0981,15.8593,6.6208,6.6208,6.6208,3.5010,51.5375,82.7606,91.4373,90.0000,28.0068,83.0000,71.9507,LOW,MEDIUM,-31.2892,151.04
MODEL_F_BALANCED_MEDIUM,Balanced medium,0.015,0.015,7,COMMISSION_100_TO_PLATFORM,-1.4712,-2.6955,6.1612,-9.5094,9.0377,43.5344,17.4297,23.6988,17.4297,10.2174,17.4297,5.6751,5.6751,5.6751,3.0009,55.8200,70.9387,97.7189,70.0000,27.5374,100.0000,69.5341,LOW,MEDIUM,-31.2892,176.21
MODEL_G_HIGHER_FEES,Higher fees,0.025,0.025,7,COMMISSION_100_TO_PLATFORM,-3.4230,-4.6231,4.0582,-11.3020,8.8775,34.9905,12.0180,17.1361,12.0180,6.5265,12.0180,9.4585,9.4585,9.4585,4.9527,39.1670,100.0000,76.0721,100.0000,29.3691,100.0000,72.9431,LOW,MEDIUM,-31.2892,105.73
MODEL_H_TRADING_BRAKE,Trading brake,0.015,0.03,7,COMMISSION_100_TO_PLATFORM,-2.9716,-4.1773,4.5445,-10.8874,8.8775,36.8912,13.0667,18.4604,13.0667,7.1983,13.0667,8.5123,8.5123,8.5123,4.5013,42.9918,100.0000,80.2667,100.0000,28.9455,83.0000,73.8458,LOW,MEDIUM,-31.2892,117.48
MODEL_I_USER_FRIENDLY,User friendly,0.01,0.02,7,COMMISSION_100_TO_PLATFORM,-1.4860,-2.7102,6.1451,-9.5231,8.9690,43.4202,17.2036,23.4791,17.2036,10.0161,17.2036,5.6749,5.6749,5.6749,3.0157,55.6760,70.9362,96.8146,90.0000,27.5514,83.0000,70.4679,LOW,MEDIUM,-31.2892,176.21
MODEL_J_PLATFORM_STRONG,Platform strong,0.03,0.03,7,COMMISSION_100_TO_PLATFORM,-4.3847,-5.5728,3.0220,-12.1852,8.8775,31.0686,9.9849,14.5227,9.9849,5.2579,9.9849,11.3502,11.3502,11.3502,5.9144,31.0626,100.0000,67.9395,100.0000,30.2715,100.0000,69.3807,LOW,MEDIUM,-31.2892,88.10
