season,seasonStatus,modelId,modelName,numParticipants,numSimulations,avgBuyCost,avgSellProceeds,avgTradingROI,medianTradingROI,pctPositiveTradingROI,pctAbove5TradingROI,avgPrizePool,avgPlatformRevenue,avgTopPrize,avgWinnerTotalROI,avgTotalROI,pctAbove0TotalROI,pctAbove5TotalROI
2019/20,completed,M1,Originale Puro,20,200,218.75,195.99,-10.28,-10.35,12.8,4.7,1135.4,0,454.16,162.4,-5.33,24.8,21.6
2019/20,completed,M2,Originale + 10% Margine,20,200,218.75,195.99,-10.28,-10.35,12.8,4.7,1021.86,113.54,408.75,144.8,-7.52,23.6,20.3
2019/20,completed,M3,Originale + 20% Margine,20,200,218.75,195.99,-10.28,-10.35,12.8,4.7,908.32,227.08,363.33,127.2,-9.71,21.6,20
2019/20,completed,M4,Quota 10 + Commissioni,20,200,218.75,195.99,-10.28,-10.35,12.8,4.7,135.4,200,54.16,26.9,-11.19,17.4,12.5
2019/20,completed,M5,Quota 10 + 10% Margine,20,200,218.75,195.99,-10.28,-10.35,12.8,4.7,121.86,213.54,48.75,24.4,-11.5,16.5,11.8
2020/21,completed,M1,Originale Puro,20,200,200.25,187.98,-5.72,-5.4,25.9,11.5,1126.12,0,450.45,175.8,-1.3,25.6,24.4
2020/21,completed,M2,Originale + 10% Margine,20,200,200.25,187.98,-5.72,-5.4,25.9,11.5,1013.51,112.61,405.4,156.9,-3.66,25.1,22.6
2020/21,completed,M3,Originale + 20% Margine,20,200,200.25,187.98,-5.72,-5.4,25.9,11.5,900.9,225.22,360.36,138.1,-6.03,24.3,20.8
2020/21,completed,M4,Quota 10 + Commissioni,20,200,200.25,187.98,-5.72,-5.4,25.9,11.5,126.12,200,50.45,30.3,-7.15,22.1,16.1
2020/21,completed,M5,Quota 10 + 10% Margine,20,200,200.25,187.98,-5.72,-5.4,25.9,11.5,113.51,212.61,45.4,27.8,-7.46,21.6,15.2
2021/22,completed,M1,Originale Puro,20,200,207.9,194.39,-6.21,-6.13,21.5,8.2,1130.74,0,452.3,169.7,-1.6,25.1,24.3
2021/22,completed,M2,Originale + 10% Margine,20,200,207.9,194.39,-6.21,-6.13,21.5,8.2,1017.67,113.07,407.07,151.4,-3.92,25,21.6
