scope,season,seasonStatus,strategy,noVotePolicy,numSimulations,avgTradingOnlyROI,avgFullRulesROI,medianFullRulesROI,fantasyImpactAvg,pctAbove0,pctAbove5,pctAbove7,pctAbove10,bestROI,worstROI,volatility,avgDerivedNoVotes
completed,2023/24,completed,RANDOM,ZERO,250,-6.7144,-51.2586,-51.0933,-44.5443,0,0,0,0,-38.7065,-65.4062,4.0388,390.948
completed,2023/24,completed,LOW_COST,ZERO,250,-2.4637,-47.554,-47.436,-45.0903,0,0,0,0,-35.7059,-59.7642,4.153,431.312
completed,2023/24,completed,TOP_PLAYER,ZERO,250,-13.0073,-54.5105,-55.0657,-41.5033,0,0,0,0,-35.1162,-66.3536,4.926,294.472
completed,2023/24,completed,BALANCED,ZERO,250,-6.8343,-51.3459,-51.1308,-44.5116,0,0,0,0,-43.3332,-62.3692,3.6678,384.556
completed,2023/24,completed,VALUE,ZERO,250,5.9523,-39.5366,-40.0028,-45.4888,0,0,0,0,-30.5084,-46.7781,3.1341,454.304
completed,2023/24,completed,RANDOM,FIVE,250,-7.8,-5.0505,-5.1001,2.7495,31.2,10.4,7.6,4.4,19.6004,-32.7975,8.8478,388.852
completed,2023/24,completed,LOW_COST,FIVE,250,-2.934,-1.1877,-1.9102,1.7463,45.2,29.2,21.2,13.2,24.3558,-26.4615,9.652,431.952
completed,2023/24,completed,TOP_PLAYER,FIVE,250,-11.8391,-7.3304,-7.6852,4.5087,21.2,8.4,4.8,2.4,14.4208,-27.9197,8.4846,297.52
completed,2023/24,completed,BALANCED,FIVE,250,-6.958,-4.3908,-5.0066,2.5672,32.4,15.2,13.2,6,21.1739,-29.1984,9.7609,385.312
completed,2023/24,completed,VALUE,FIVE,250,7.141,7.2059,6.9941,0.0649,90,66.4,50,28.8,24.4488,-12.1924,5.587,450.356
completed,2023/24,completed,RANDOM,EXCLUDE,250,-6.23,-2.0614,-1.6643,4.1686,41.6,22.8,17.2,10.4,24.6583,-31.2063,9.8065,387.096
completed,2023/24,completed,LOW_COST,EXCLUDE,250,-3.5556,-1.4118,-1.701,2.1439,41.6,20.4,17.6,11.6,22.4707,-27.2764,8.764,432.004
completed,2023/24,completed,TOP_PLAYER,EXCLUDE,250,-12.5524,-6.5562,-6.9653,5.9962,24.8,13.2,6.8,2.8,17.0033,-31.3074,9.1928,298.98
completed,2023/24,completed,BALANCED,EXCLUDE,250,-6.9324,-3.5067,-3.6425,3.4256,34,20.8,17.2,10,24.916,-31.3682,10.3758,382.436
completed,2023/24,completed,VALUE,EXCLUDE,250,6.3114,6.5489,6.2007,0.2375,84.8,56.8,44,28.8,28.4464,-9.0857,6.595,452.456
completed,2023/24,completed,RANDOM,PLAYER_ZERO_TEAM_EXCLUDE,250,-7.2768,-3.6032,-3.5596,3.6736,36.4,20,13.2,8,27.2424,-26.546,9.6898,389.328
completed,2023/24,completed,LOW_COST,PLAYER_ZERO_TEAM_EXCLUDE,250,-3.3683,-1.1185,-1.7315,2.2498,42.4,27.6,22,14,22.9576,-24.2886,9.8172,427.032
completed,2023/24,completed,TOP_PLAYER,PLAYER_ZERO_TEAM_EXCLUDE,250,-12.7962,-6.7401,-6.7255,6.0561,26.4,10.8,6.4,4.4,18.9235,-33.0082,9.584,294.08
completed,2023/24,completed,BALANCED,PLAYER_ZERO_TEAM_EXCLUDE,250,-5.9542,-2.2227,-2.685,3.7314,42,25.6,17.2,11.6,23.2313,-27.4034,10.0483,380.212
completed,2023/24,completed,VALUE,PLAYER_ZERO_TEAM_EXCLUDE,250,6.2022,6.3814,5.6789,0.1792,83.2,54.8,42.8,31.6,24.1635,-7.7879,6.3778,451.316
completed,2023/24,completed,RANDOM,PLAYER_MALUS_TEAM_EXCLUDE,250,-7.3006,-38.9236,-39.5098,-31.623,0,0,0,0,-10.4335,-61.2676,9.6253,385.784
completed,2023/24,completed,LOW_COST,PLAYER_MALUS_TEAM_EXCLUDE,250,-1.8399,-38.5997,-38.7296,-36.7598,0,0,0,0,-4.5625,-67.0077,9.4559,421.596
completed,2023/24,completed,TOP_PLAYER,PLAYER_MALUS_TEAM_EXCLUDE,250,-13.0277,-38.0366,-38.4528,-25.0089,0,0,0,0,-14.0649,-56.8687,8.7634,301.612
completed,2023/24,completed,BALANCED,PLAYER_MALUS_TEAM_EXCLUDE,250,-6.2547,-39.1099,-39.3974,-32.8551,0,0,0,0,-9.6732,-69.0698,9.9219,382.904
completed,2023/24,completed,VALUE,PLAYER_MALUS_TEAM_EXCLUDE,250,5.8597,-42.6132,-42.788,-48.4729,0,0,0,0,-17.9786,-64.4027,7.4227,447.396
completed,2024/25,completed,RANDOM,ZERO,250,-6.1959,-50.407,-50.1628,-44.2111,0,0,0,0,-36.4014,-64.6687,5.2164,410.636
completed,2024/25,completed,LOW_COST,ZERO,250,-0.7534,-46.3431,-46.227,-45.5896,0,0,0,0,-34.1746,-57.8413,4.3756,436.192
completed,2024/25,completed,TOP_PLAYER,ZERO,250,-15.0091,-55.6464,-56.1782,-40.6372,0,0,0,0,-38.6218,-65.5219,4.7048,315.016
completed,2024/25,completed,BALANCED,ZERO,250,-5.5497,-49.7738,-49.4113,-44.2242,0,0,0,0,-39.2857,-60.0043,4.3131,406.156
