modelId,seasonBasis,participantCount,capitalDistribution,targetAverageCapitalEur,feeScenarioId,buyFeePct,sellFeePct,strategy,strategySource,strategyModelFamily,sourceAvgRoiPct,sourceVolatilityPct,sourceBaseFeeRatioPct,estimatedTurnoverMultiplier,effectiveFeeRatioPct,avgTotalCapitalDepositedEur,avgTotalCommissionsEur,avgFinalLiquidationValuePaidEur,avgAggregateUserProfitLossEur,avgWeightedUserRoiPct,avgSystemCashInEur,avgSystemCashOutEur,avgSystemNetEur,pctScenariosSystemNetNegative,avgReserveNeedEur,p95ReserveNeedEur,p99ReserveNeedEur,recommendedReserveRatioPct,exposureToWinningUsersAvgEur,winningUsersPctAvg,valueEffectVsBalancedPctPoints,whaleReserveRatioMultiplierVsMedium,minBreakEvenFeePerSidePct,safetyFeePerSidePct,userAttractivenessScore,operationalRisk,legalRegulatoryRisk,regulatoryRiskNote,isAutosufficientOnAverage
REAL_MONEY_REDEEMABLE_PORTFOLIO_MODEL,"2023/24, 2024/25",20,LOW,150,BUY_1_SELL_1,1,1,HOLD,intraseason_trading_backtest completed seasons with synthetic round quotes,intraseason_trading,5.2969,3.2447,3.29,0,2,3003.15,60.06,3200.84,197.69,6.5836,3063.21,3200.84,-137.63,100,137.63,177.73,194.05,5.9181,197.69,100,0,0,4.3,5.89,59.48,HIGH,VERY_HIGH,"Payout reale o convertibile richiede parere legale, fiscale e risk management prima di qualunque implementazione.",false
REAL_MONEY_REDEEMABLE_PORTFOLIO_MODEL,"2023/24, 2024/25",20,LOW,150,BUY_1_SELL_1,1,1,VALUE,historical_strategy_backtest completed seasons plus full_rules policy PLAYER_ZERO_TEAM_EXCLUDE,full_rules_static_roster,6.5707,5.2445,4,0,2,3000.1,60,3257.76,257.67,8.5872,3060.1,3257.76,-197.67,100,197.67,261.93,294.63,8.7308,257.67,99.91,12.9266,0,5.29,7.25,63.89,HIGH,VERY_HIGH,"Payout reale o convertibile richiede parere legale, fiscale e risk management prima di qualunque implementazione.",false
REAL_MONEY_REDEEMABLE_PORTFOLIO_MODEL,"2023/24, 2024/25",20,LOW,150,BUY_1_SELL_1,1,1,BALANCED,historical_strategy_backtest completed seasons plus full_rules policy PLAYER_ZERO_TEAM_EXCLUDE,full_rules_static_roster,-6.3559,8.6571,4,0,2,3006.04,60.12,2875.14,-130.9,-4.3577,3066.16,2875.14,191.02,0.04,0.02,0,0,0,0.23,27.45,0,0,0,2.6,41.41,LOW,VERY_HIGH,"Payout reale o convertibile richiede parere legale, fiscale e risk management prima di qualunque implementazione.",true
REAL_MONEY_REDEEMABLE_PORTFOLIO_MODEL,"2023/24, 2024/25",20,LOW,150,BUY_1_SELL_1,1,1,LOW_COST,historical_strategy_backtest completed seasons plus full_rules policy PLAYER_ZERO_TEAM_EXCLUDE,full_rules_static_roster,-2.4362,8.4299,4,0,2,2996.37,59.93,2984.48,-11.89,-0.3988,3056.3,2984.48,71.82,10.28,2.71,21.23,60.15,0.7086,17.13,47.89,0,0,0.78,3.34,49.51,MEDIUM,VERY_HIGH,"Payout reale o convertibile richiede parere legale, fiscale e risk management prima di qualunque implementazione.",true
REAL_MONEY_REDEEMABLE_PORTFOLIO_MODEL,"2023/24, 2024/25",20,LOW,150,BUY_1_SELL_1,1,1,TOP_PLAYER,historical_strategy_backtest completed seasons plus full_rules policy PLAYER_ZERO_TEAM_EXCLUDE,full_rules_static_roster,-13.6135,7.7013,4,0,2,3000.41,60.01,2652.35,-348.06,-11.6032,3060.42,2652.35,408.07,0,0,0,0,0,0,0.2,0,0,0,2.42,25.47,LOW,VERY_HIGH,"Payout reale o convertibile richiede parere legale, fiscale e risk management prima di qualunque implementazione.",true
REAL_MONEY_REDEEMABLE_PORTFOLIO_MODEL,"2023/24, 2024/25",20,LOW,150,BUY_1_SELL_1,1,1,VALUE_ROTATION,intraseason_trading_backtest completed seasons with synthetic round quotes,intraseason_trading,-24.6307,17.151,4.15,0.96,3.92,3000.51,117.62,2269.77,-730.74,-24.3552,3118.13,2269.77,848.36,0,0,0,0,0,0,0.2,0,0,0,2.61,0,LOW,VERY_HIGH,"Payout reale o convertibile richiede parere legale, fiscale e risk management prima di qualunque implementazione.",true
REAL_MONEY_REDEEMABLE_PORTFOLIO_MODEL,"2023/24, 2024/25",20,LOW,150,BUY_1_SELL_1,1,1,MOMENTUM,intraseason_trading_backtest completed seasons with synthetic round quotes,intraseason_trading,-57.4774,23.8135,3.45,0.96,3.92,2998.67,117.55,1263.43,-1735.24,-57.8715,3116.22,1263.43,1852.79,0,0,0,0,0,0,0,0,0,0,3.24,0,LOW,VERY_HIGH,"Payout reale o convertibile richiede parere legale, fiscale e risk management prima di qualunque implementazione.",true
REAL_MONEY_REDEEMABLE_PORTFOLIO_MODEL,"2023/24, 2024/25",20,LOW,150,BUY_1_SELL_1,1,1,HYBRID_VALUE_MOMENTUM,intraseason_trading_backtest completed seasons with synthetic round quotes,intraseason_trading,-15.0426,12.8787,3.65,0.233333,2.4667,2998.51,73.96,2581.8,-416.72,-13.8971,3072.48,2581.8,490.68,0,0,0,0,0,0,4.09,0,0,0,2.93,18.79,LOW,VERY_HIGH,"Payout reale o convertibile richiede parere legale, fiscale e risk management prima di qualunque implementazione.",true
REAL_MONEY_REDEEMABLE_PORTFOLIO_MODEL,"2023/24, 2024/25",20,LOW,150,BUY_1_5_SELL_1_5,1.5,1.5,HOLD,intraseason_trading_backtest completed seasons with synthetic round quotes,intraseason_trading,5.2969,3.2447,3.29,0,3,3005.16,90.15,3172.86,167.69,5.5807,3095.32,3172.86,-77.54,100,77.54,115.39,133.54,3.8398,167.69,99.91,0,0,4.3,5.89,53.78,HIGH,VERY_HIGH,"Payout reale o convertibile richiede parere legale, fiscale e risk management prima di qualunque implementazione.",false
REAL_MONEY_REDEEMABLE_PORTFOLIO_MODEL,"2023/24, 2024/25",20,LOW,150,BUY_1_5_SELL_1_5,1.5,1.5,VALUE,historical_strategy_backtest completed seasons plus full_rules policy PLAYER_ZERO_TEAM_EXCLUDE,full_rules_static_roster,6.5707,5.2445,4,0,3,3005.34,90.16,3233.31,227.98,7.586,3095.5,3233.31,-137.82,100,137.82,198.48,223.3,6.6042,227.98,99.44,12.9266,0,5.29,7.25,58.19,HIGH,VERY_HIGH,"Payout reale o convertibile richiede parere legale, fiscale e risk management prima di qualunque implementazione.",false
