rank,score,mae,medianAbsError,rmse,avgSignedError,exactPct,within1Pct,within2Pct,lastPerformanceWeight,fantasyAverageWeight,presenceWeight,adjustmentRate,expectedStrength,absencePenalty
1,7.152071,2.625483,2.000000,3.781687,-1.196911,17.9537,44.4015,62.2587,0.46,0.38,0.45,0.56,1.25,-0.05
2,7.174367,2.638996,2.000000,3.772999,-1.023166,16.1197,44.0154,62.2587,0.46,0.38,0.45,0.56,1.25,-0.02
3,7.210422,2.654440,2.000000,3.760186,-0.920849,18.0502,43.3398,60.3282,0.46,0.38,0.45,0.56,1,-0.02
4,7.277358,2.674710,2.000000,3.784366,-1.099421,18.0502,42.9537,59.7490,0.46,0.38,0.45,0.56,1,-0.05
5,7.295820,2.673745,2.000000,3.834159,-1.138996,17.3745,44.1120,61.1969,0.46,0.28,0.45,0.56,1.25,-0.05
6,7.331084,2.692085,2.000000,3.826473,-0.960425,15.9266,43.5328,61.1004,0.46,0.28,0.45,0.56,1.25,-0.02
7,7.362594,2.694015,2.000000,3.861377,-1.151544,17.4710,43.8224,60.9073,0.34,0.38,0.45,0.56,1.25,-0.05
8,7.382395,2.706564,2.000000,3.850237,-0.957529,15.9266,43.3398,60.9073,0.34,0.38,0.45,0.56,1.25,-0.02
9,7.414684,2.719112,2.000000,3.839567,-1.037645,17.5676,42.5676,59.3629,0.46,0.28,0.45,0.56,1,-0.05
10,7.495824,2.744208,2.000000,3.866124,-1.031853,17.4710,41.7954,59.2664,0.34,0.38,0.45,0.56,1,-0.05
11,7.497745,2.750965,2.000000,3.862252,-0.862934,16.3127,42.2780,59.1699,0.46,0.28,0.45,0.56,1,-0.02
12,7.547881,2.765444,2.000000,3.882567,-0.863900,16.6023,41.8919,59.1699,0.34,0.38,0.45,0.56,1,-0.02
13,7.561289,2.775097,2.000000,3.843839,-0.784749,16.2162,40.3475,57.6255,0.46,0.38,0.45,0.56,0.75,-0.02
14,7.567860,2.764479,2.000000,3.925464,-1.059846,16.6023,42.9537,59.3629,0.46,0.18,0.45,0.56,1.25,-0.05
15,7.577870,2.771236,2.000000,3.917711,-0.900579,15.8301,42.7606,58.9768,0.46,0.18,0.45,0.56,1.25,-0.02
16,7.582574,2.783784,2.000000,3.844215,-0.972973,15.9266,40.0579,57.4324,0.46,0.38,0.45,0.56,0.75,-0.05
17,7.609837,2.775097,2.000000,3.936391,-1.066602,17.0849,42.1815,59.0734,0.22,0.38,0.45,0.56,1.25,-0.05
18,7.611572,2.774131,2.000000,3.942394,-1.063707,17.3745,42.2780,59.1699,0.34,0.28,0.45,0.56,1.25,-0.05
19,7.632379,2.785714,2.000000,3.942884,-0.893822,15.8301,42.2780,59.2664,0.34,0.28,0.45,0.56,1.25,-0.02
20,7.683343,2.804054,2.000000,3.954251,-0.898649,15.4440,41.7954,59.1699,0.22,0.38,0.45,0.56,1.25,-0.02
21,7.714442,2.812741,2.000000,3.938720,-1.191120,16.1197,40.3475,57.6255,0.46,0.38,0.25,0.56,1,-0.02
22,7.735248,2.808880,2.000000,3.991545,-1.297297,16.0232,41.2162,58.9768,0.46,0.38,0.25,0.56,1.25,-0.02
23,7.747402,2.807915,2.000000,4.005908,-1.473938,16.8919,41.1197,59.0734,0.46,0.38,0.25,0.56,1.25,-0.05
24,7.754496,2.830116,2.000000,3.954373,-0.974903,16.3127,40.6371,57.8185,0.46,0.18,0.45,0.56,1,-0.05
25,7.759450,2.834942,2.000000,3.934674,-0.715251,16.7954,40.1544,56.4672,0.46,0.28,0.45,0.56,0.75,-0.02
26,7.764518,2.825290,2.000000,3.967654,-1.387066,16.7954,40.3475,57.3359,0.46,0.38,0.25,0.56,1,-0.05
27,7.770168,2.833012,2.000000,3.968140,-0.960425,16.3127,40.7336,57.9151,0.34,0.28,0.45,0.56,1,-0.05
28,7.778009,2.846525,2.000000,3.933202,-0.923745,15.6371,40.2510,56.3707,0.46,0.28,0.45,0.56,0.75,-0.05
29,7.784302,2.842664,2.000000,3.955959,-0.788610,15.5405,40.1544,58.1081,0.46,0.18,0.45,0.56,1,-0.02
30,7.800807,2.832046,2.000000,4.011085,-1.160232,16.4093,40.9266,58.5907,0.46,0.38,0.45,0.42,1.25,-0.05
31,7.801172,2.849421,2.000000,3.950465,-0.928571,16.0232,40.0579,56.4672,0.34,0.38,0.45,0.56,0.75,-0.05
32,7.809035,2.837838,2.000000,4.011326,-1.000000,15.8301,41.3127,57.9151,0.46,0.38,0.45,0.42,1.25,-0.02
33,7.817876,2.855212,2.000000,3.953152,-0.729730,16.0232,39.7683,56.5637,0.34,0.38,0.45,0.56,0.75,-0.02
34,7.830565,2.854247,2.000000,3.986343,-0.968147,15.7336,40.4440,57.6255,0.22,0.38,0.45,0.56,1,-0.05
35,7.833716,2.858108,2.000000,3.983193,-0.796332,15.4440,40.4440,57.8185,0.34,0.28,0.45,0.56,1,-0.02
36,7.844661,2.857143,2.000000,3.992996,-0.787645,16.4093,40.3475,57.3359,0.22,0.38,0.45,0.56,1,-0.02
37,7.849427,2.841699,2.000000,4.035078,-1.395753,16.8919,40.4440,58.1081,0.46,0.28,0.25,0.56,1.25,-0.05
38,7.850282,2.845560,2.000000,4.026697,-1.216216,15.8301,40.2510,58.3977,0.46,0.28,0.25,0.56,1.25,-0.02
39,7.877924,2.864865,2.000000,4.032206,-0.986486,15.5405,41.1197,58.2046,0.34,0.18,0.45,0.56,1.25,-0.05
40,7.905479,2.862934,2.000000,4.048452,-1.231660,15.8301,40.2510,57.5290,0.34,0.38,0.25,0.56,1.25,-0.02
