modelId,operational,score,mae,rmse,medianAbsError,within1Pct,within2Pct,within3Pct,bias,instabilityPenalty,attackerMae
AGGRESSIVE,true,0.2613,1.7732,2.4888,1.0000,53.4749,75.6757,87.8378,0.0859,0.1589,2.2353
ROLE_BONUS_SENSITIVE,true,-0.0959,1.4624,2.0498,1.0000,62.1622,82.3359,92.4710,-0.1264,0.0976,1.6667
HYBRID_AGGRESSIVE_ATTACKER_BONUS,true,0.1443,1.6602,2.3538,1.0000,56.1776,78.2819,88.1274,0.1409,0.2007,1.9020
ROLE_SPECIFIC_OPTIMIZED,true,0.1507,1.6747,2.2984,1.0000,55.1158,76.7375,89.4788,0.1844,0.1566,1.7941
QUOTE_BAND_OPTIMIZED,true,0.2882,1.7954,2.5129,1.0000,53.8610,75.0965,86.7761,-0.0792,0.2270,2.2941
ROLE_AND_QUOTE_BAND_OPTIMIZED,true,0.0969,1.6361,2.3549,1.0000,58.3977,79.8263,88.8996,-0.0261,0.1093,1.9902
BONUS_FEATURE_OPTIMIZED,true,0.0170,1.5550,2.1901,1.0000,58.9768,81.0811,90.8301,0.2307,0.1461,1.9657
ENSEMBLE_AVERAGE,true,0.4233,1.8629,2.6841,1.0000,55.2124,73.0695,85.4247,-0.4459,0.0547,2.6324
ENSEMBLE_ROLE_WEIGHTED,true,0.4035,1.8436,2.6592,1.0000,55.9846,73.0695,85.3282,-0.4054,0.0659,2.5735
ROBUST_MODEL,true,-0.0941,1.4537,2.0749,1.0000,62.9344,83.0116,92.4710,-0.2625,0.0337,1.8578
ORACLE_FINAL_ANCHOR,false,-1.5000,0.0000,0.0000,0.0000,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000
