modelId,operational,mae,rmse,medianAbsError,within1Pct,within2Pct,within3Pct,bias,attackerMae
BASELINE,true,2.6255,3.7817,2.0000,44.4015,62.2587,73.3591,-1.1969,4.0588
ROLE_SPECIFIC,true,2.4604,3.4909,2.0000,45.3668,63.2239,75.0965,-0.9295,3.2451
QUOTE_BANDS,true,2.5685,3.7110,2.0000,45.4633,62.5483,75.0965,-1.1766,4.0441
APPEARANCE_ADJUSTED,true,2.5473,3.6252,2.0000,44.6911,61.5830,74.4208,-0.9025,3.7304
ATTACKER_TUNED,true,2.6824,3.8950,2.0000,44.1120,61.8726,72.6834,-1.3967,4.3480
ATTACKER_BONUS_SENSITIVE,true,2.3697,3.3682,2.0000,46.8147,64.7683,76.6409,-1.1226,2.7598
ROLE_BONUS_SENSITIVE,true,2.1969,3.0853,2.0000,48.3591,66.4093,79.1506,-0.5734,2.6814
HYBRID_ROLE_QUOTE_APPEARANCE,true,2.4749,3.5665,2.0000,46.2355,62.9344,76.0618,-0.8707,3.8725
HYBRID_ROLE_QUOTE_BONUS,true,2.2095,3.0899,2.0000,48.1660,66.4093,79.4402,-0.8562,2.9167
CONSERVATIVE,true,3.1824,4.4007,2.0000,36.0039,53.7645,65.6371,-1.0261,4.4853
AGGRESSIVE,true,2.0415,3.0550,1.0000,54.5367,71.7181,82.6255,-0.8214,3.4118
ORACLE_FINAL_ANCHOR,false,0.0000,0.0000,0.0000,100.0000,100.0000,100.0000,0.0000,0.0000
