model_id,model_name,num_participants,registration_fee,avg_capital_invested_per_team,avg_ops_per_team_season,avg_total_commissions,avg_gross_inflow,avg_prize_pool,avg_first_prize,avg_second_prize,avg_third_prize,avg_platform_revenue,organizer_margin_pct,org_profit_per_participant,avg_participant_roi_pct,avg_winner_roi_pct,pct_above_0,pct_above_5,platform_loss_risk_pct,is_sustainable
M1,Originale Puro,20,50,52.9,105.6,1057.95,2057.95,2057.95,823.18,514.49,308.69,0,0,0,105.79,1546,30,30,100,false
M1,Originale Puro,50,50,52.66,105.1,2633.23,5133.23,5133.23,2053.29,1283.31,769.98,0,0,0,105.33,4007,12,12,100,false
M1,Originale Puro,100,50,52.76,105.4,5275.54,10275.54,10275.54,4110.21,2568.88,1541.33,0,0,0,105.51,8120,6,6,100,false
M1,Originale Puro,250,50,52.48,105.2,13119.87,25619.87,25619.87,10247.95,6404.97,3842.98,0,0,0,104.96,20396,2.4,2.4,100,false
M1,Originale Puro,500,50,52.43,105.5,26212.74,51212.74,51212.74,20485.09,12803.18,7681.91,0,0,0,104.85,40870,1.2,1.2,100,false
M2,Originale + 10% Margine,20,50,52.9,105.6,1057.95,2057.95,1852.15,740.86,463.04,277.82,205.79,10,10.29,85.22,1382,30,30,0,true
M2,Originale + 10% Margine,50,50,52.66,105.1,2633.23,5133.23,4619.9,1847.96,1154.98,692.99,513.32,10,10.27,84.8,3596,12,12,0,true
M2,Originale + 10% Margine,100,50,52.76,105.4,5275.54,10275.54,9247.98,3699.19,2312,1387.2,1027.55,10,10.28,84.96,7298,6,6,0,true
M2,Originale + 10% Margine,250,50,52.48,105.2,13119.87,25619.87,23057.89,9223.15,5764.47,3458.68,2561.99,10,10.25,84.46,18346,2.4,2.4,0,true
M2,Originale + 10% Margine,500,50,52.43,105.5,26212.74,51212.74,46091.46,18436.59,11522.87,6913.72,5121.27,10,10.24,84.37,36773,1.2,1.2,0,true
M3,Originale + 20% Margine,20,50,52.9,105.6,1057.95,2057.95,1646.36,658.54,411.59,246.95,411.59,20,20.58,64.64,1217,30,30,0,true
M3,Originale + 20% Margine,50,50,52.66,105.1,2633.23,5133.23,4106.58,1642.63,1026.65,615.99,1026.65,20,20.53,64.26,3185,12,12,0,true
M3,Originale + 20% Margine,100,50,52.76,105.4,5275.54,10275.54,8220.43,3288.17,2055.11,1233.06,2055.11,20,20.55,64.41,6476,6,6,0,true
M3,Originale + 20% Margine,250,50,52.48,105.2,13119.87,25619.87,20495.9,8198.36,5123.97,3074.38,5123.97,20,20.5,63.97,16297,2.4,2.4,0,true
M3,Originale + 20% Margine,500,50,52.43,105.5,26212.74,51212.74,40970.19,16388.08,10242.55,6145.53,10242.55,20,20.49,63.88,32676,1.2,1.2,0,true
M4,Quota 10 + Commissioni,20,10,52.9,105.6,1057.95,1257.95,1057.95,423.18,264.49,158.69,200,15.9,10,428.97,4132,30,30,0,true
M4,Quota 10 + Commissioni,50,10,52.66,105.1,2633.23,3133.23,2633.23,1053.29,658.31,394.98,500,15.96,10,426.65,10433,12,12,0,true
M4,Quota 10 + Commissioni,100,10,52.76,105.4,5275.54,6275.54,5275.54,2110.21,1318.88,791.33,1000,15.93,10,427.55,21002,6,6,0,true
M4,Quota 10 + Commissioni,250,10,52.48,105.2,13119.87,15619.87,13119.87,5247.95,3279.97,1967.98,2500,16.01,10,424.79,52379,2.4,2.4,0,true
M4,Quota 10 + Commissioni,500,10,52.43,105.5,26212.74,31212.74,26212.74,10485.09,6553.18,3931.91,5000,16.02,10,424.25,104751,1.2,1.2,0,true
M5,Quota 10 + 10% Margine,20,10,52.9,105.6,1057.95,1257.95,952.15,380.86,238.04,142.82,305.79,24.31,15.29,376.08,3709,30,30,0,true
M5,Quota 10 + 10% Margine,50,10,52.66,105.1,2633.23,3133.23,2369.9,947.96,592.48,355.49,763.32,24.36,15.27,373.98,9380,12,12,0,true
M5,Quota 10 + 10% Margine,100,10,52.76,105.4,5275.54,6275.54,4747.98,1899.19,1187,712.2,1527.55,24.34,15.28,374.8,18892,6,6,0,true
M5,Quota 10 + 10% Margine,250,10,52.48,105.2,13119.87,15619.87,11807.89,4723.15,2951.97,1771.18,3811.99,24.4,15.25,372.32,47132,2.4,2.4,0,true
M5,Quota 10 + 10% Margine,500,10,52.43,105.5,26212.74,31212.74,23591.46,9436.59,5897.87,3538.72,7621.27,24.42,15.24,371.83,94266,1.2,1.2,0,true
